project_id,option_id,total_pv_kwp,total_inverter_kw,total_battery_kwh
158e6bfab9322fe5,2b4dbbfaf03f4f4a,0.0,0.0,5.0
15d5d4246e431b8d,4fc84f140a1f7ff3,0.0,0.0,10.0
15dcdc54ad273682,a65512f96bc93cbe,0.0,0.0,5.0
161c4998807d2fec,e928850469d4ce09,0.0,0.0,10.0
164b27d095471804,9a5ce03d9855bf9e,0.0,0.0,7.0
167e05896de01ebc,caa0cd758f689398,0.0,0.0,13.8
167f6dec280368ec,2e3737be8b668f16,0.0,0.0,5.0
168557b5c691236b,3b56125751e3ca98,0.0,0.0,5.0
16a2d23f7a58724a,26e7edb1b970e5fb,0.0,0.0,10.0
16d9a92e17004b9d,ff22af3e4f7f2294,0.0,0.0,10.0
176ea627fd5deaf3,02d52d870fe82896,0.0,0.0,10.0
1770f8ccce9fd6ea,25b18bd3d8ed46e8,0.0,0.0,14.0
17778f6c40f6db0c,5aeb3d67a666c864,0.0,0.0,10.0
178fbd48f713e009,0523ff858bee2167,0.0,0.0,10.0
17c821bea5da9c2c,7a6f4636b93a155e,0.0,0.0,7.0
17ff594e36ce2259,69ba3f4f6e5d7356,0.0,0.0,10.0
187649d86e81f077,acbaa0a7a1ca6f45,0.0,0.0,5.0
1898f7041b656d38,65909923f62719f1,0.0,0.0,5.0
18999a2bc347784c,390848de049fc15d,0.0,0.0,9.2
18a9be1f3a2b156d,4f7aad66541b923c,0.0,0.0,7.0
18aead27400032c4,00f5536d8bb93db8,0.0,0.0,15.0
18d6a0307a93b0b9,50055c01f219c35c,0.0,0.0,10.0
18f5b02c4bb9efb2,1037ba17356aedbb,0.0,0.0,15.0
1969079a341d3b46,4cf856955f5bdca8,0.0,0.0,5.0
197a6c53b189f0cb,472acb3cb4ed7b7d,0.0,0.0,7.0
199389f15add6014,a7dc7882729441bb,0.0,0.0,15.0
1a3de535137798ca,ce80945ab49bb62e,0.0,0.0,10.0
1a5ca7a42473fb46,e2bb04592f4080ab,0.0,0.0,10.0
1a9409314d6842d5,27faf2cb11af13c2,0.0,0.0,5.0
